displayName,Average SITR,Total SITR,tackleOpportunities,position
Taylor Rapp,-0.041368,-0.413684,10.0,DB
Terrance Mitchell,3.234276,29.10848,9.0,DB
Terrell Edmunds,1.053873,13.700351,13.0,DB
Trevon Diggs,1.522768,24.364293,16.0,DB
Tyrann Mathieu,1.70292,30.652562,18.0,DB
Tyson Campbell,0.834853,12.522791,15.0,DB
Vonn Bell,0.679751,16.314014,24.0,DB
William Jackson,2.051855,30.777827,15.0,DB
Xavien Howard,-0.174849,-2.797586,16.0,DB
Xavier McKinney,2.34914,21.14226,9.0,DB
Xavier Woods,1.21454,23.076252,19.0,DB
