displayName,Average SITR,Total SITR,tackleOpportunities,position
Taven Bryan,0.406066,4.466727,11.0,DL
Tedarrell Slaton,-0.194361,-1.749249,9.0,DL
Tershawn Wharton,0.24739,2.226513,9.0,DL
Tim Settle,-0.145522,-1.309698,9.0,DL
Travis Jones,-0.128345,-1.026759,8.0,DL
Trey Hendrickson,0.826068,10.73888,13.0,DL
Trysten Hill,-0.093641,-1.310973,14.0,DL
Tyquan Lewis,-0.335563,-3.691193,11.0,DL
Vita Vea,0.20398,1.835822,9.0,DL
William Gholston,-0.23866,-4.295882,18.0,DL
Yannick Ngakoue,0.43535,6.094897,14.0,DL
Zach Allen,0.078377,1.018897,13.0,DL
Zach Sieler,0.538624,8.617986,16.0,DL
